	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	3	6	0
2	11	1b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	4	0	0	0	0	0	1	3	4	3	9	0
3	17	2a	[P1]	[S0]	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	null	T0	4	0	0	2	0	0	6	6	4	2	9	2
4	23	2b	[P0, P1]	null	null	null	[S0]	[S1]	null	null	null	null	null	null	null	null	null	T0	4	0	2	6	0	0	5	6	6	0	7	6
5	29	3a	[P0, P1]	[S0]	null	null	null	[S1]	null	null	null	null	null	null	null	null	null	T0	4	0	2	6	0	4	2	11	6	3	5	10
6	35	3b	null	[S1]	null	null	[S0]	null	null	[P0]	null	null	[P1]	null	null	null	null	T0	4	0	2	6	10	4	0	1	16	3	8	10
7	41	4a	[P0]	[S0]	null	null	null	null	[S1]	null	null	null	[P1]	null	null	null	null	T0	4	5	2	6	10	4	2	6	16	4	0	15
8	47	4b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	8	5	2	6	10	4	0	4	20	4	3	15
9	53	5a	[P1]	[S0]	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	null	T0	8	5	2	8	10	4	5	7	20	3	3	17
10	59	5b	[P1]	[S1]	null	null	[P0]	[S0]	null	null	null	null	null	null	null	null	null	T0	8	5	7	8	10	4	3	1	25	0	8	17
11	65	6a	null	[S0]	[S1]	null	null	null	[P1]	null	null	null	[P0]	null	null	null	null	T0	8	5	7	8	10	11	3	4	25	1	4	24
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	8	5	7	8	12	11	2	4	27	0	6	24
