	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	3	6	0
2	11	1b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	null	[P1]	null	null	null	T0	4	0	0	0	0	0	1	3	4	5	8	0
3	17	2a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	4	0	0	0	0	0	3	8	4	2	14	0
4	23	2b	null	[S0]	null	null	[S1]	null	null	[P1]	null	null	[P0]	null	null	null	null	T0	4	0	0	10	0	0	3	11	4	0	4	10
5	29	3a	[P1]	[S1]	null	null	null	[S0]	null	null	null	null	[P0]	null	null	null	null	T0	4	0	0	10	4	0	4	7	8	2	9	10
6	35	3b	null	[S0]	null	null	[P0]	[S1]	null	null	null	null	null	[P1]	null	null	null	T0	4	0	0	10	5	4	1	8	9	5	4	14
7	41	4a	[P0, P1]	[S1]	null	null	[S0]	null	null	null	null	null	null	null	null	null	null	T0	6	0	0	10	5	4	5	8	11	2	9	14
8	47	4b	[P0]	[S0]	null	null	null	[S1]	null	null	null	null	null	[P1]	null	null	null	T0	6	4	0	10	5	4	2	13	11	5	4	18
9	53	5a	[P1]	[P0]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	T0	6	4	0	10	5	4	2	20	11	2	11	18
10	59	5b	[S0]	null	null	null	[S1]	null	null	[P1]	null	null	[P0]	null	null	null	null	T0	6	4	0	20	5	4	4	20	11	0	1	28
11	65	6a	[P1]	[S0]	[S1]	null	null	null	null	null	null	null	[P0]	null	null	null	null	T0	6	4	0	20	5	4	4	23	11	2	7	28
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	6	4	0	20	17	6	1	11	23	1	7	30
