	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	3	6	0
2	11	1b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	4	0	0	0	0	0	1	3	4	3	9	0
3	17	2a	[P1, S0]	[P0]	null	null	[S1]	null	null	null	null	null	null	null	null	null	null	T0	4	0	0	2	0	0	3	6	4	2	9	2
4	23	2b	[P1]	[S0]	null	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	T0	4	0	0	6	0	0	5	8	4	0	7	6
5	29	3a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	4	0	0	6	0	0	2	14	4	2	12	6
6	35	3b	null	null	null	null	[S1]	null	[P1]	[S0]	null	null	null	[P0]	null	null	null	T0	4	0	0	6	6	9	5	5	10	0	2	15
7	41	4a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	4	0	0	6	6	9	2	11	10	2	7	15
8	47	4b	[S1]	null	null	null	[S0]	null	null	[P0]	null	null	[P1]	null	null	null	null	T0	14	0	0	6	6	9	0	1	20	4	7	15
9	53	5a	[P0]	[S1]	[S0]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	14	0	0	6	6	9	2	7	20	4	10	15
10	59	5b	[P1]	[S1]	null	null	null	[S0]	null	null	null	null	null	[P0]	null	null	null	T0	14	0	4	6	6	9	5	2	24	1	15	15
11	65	6a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	14	0	4	6	6	9	2	8	24	3	20	15
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	14	0	4	6	13	22	0	0	31	0	4	28
