	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0]	[S0]	[S1]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	6	4	0
2	11	1b	[P1]	[S0]	null	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	T0	0	4	0	0	0	0	5	7	0	4	2	4
3	17	2a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	4	0	0	0	0	2	13	0	6	7	4
4	23	2b	null	[S1]	null	null	[S0]	null	null	[P0]	null	null	[P1]	null	null	null	null	T0	0	4	10	0	0	0	0	3	10	6	10	4
5	29	3a	[P0]	[S1]	[S0]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	0	4	10	0	0	0	2	9	10	6	13	4
6	35	3b	null	[S1]	null	null	null	[S0]	null	[P1]	null	null	null	[P0]	null	null	null	T0	0	4	10	0	4	8	5	4	14	2	8	12
7	41	4a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	4	10	0	4	8	2	10	14	4	13	12
8	47	4b	null	null	null	null	[S1]	[P1]	null	[S0]	null	null	null	[P0]	null	null	null	T0	6	9	10	0	4	8	5	1	20	2	7	17
9	53	5a	[P0]	[S1]	[S0]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	6	9	10	0	4	8	2	7	20	7	10	17
10	59	5b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	6	9	14	0	4	8	0	5	24	7	13	17
11	65	6a	[P1, P0]	[S1]	[S0]	null	null	null	null	null	null	null	null	null	null	null	null	T0	6	9	14	0	4	8	2	11	24	4	18	17
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	6	9	14	0	13	21	0	1	33	1	2	30
